kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
ispass-2009-LIB.5.sm_62.ptx 1899 : 65536 327680 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1898 : 65536 393216 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1895 : 1157216 5458240 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1894 : 1157216 6943296 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1893 : 1157248 10414944 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1892 : 1157248 10414944 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1891 : 1157248 10414944 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1890 : 1157280 6972448 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1889 : 1157280 10415520 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1888 : 1157792 121514400 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1887 : 1157856 10420128 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1886 : 1157888 6947136 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1885 : 1157888 6947328 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1884 : 1157952 15052544 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1883 : 1157984 15053376 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1882 : 1157984 6947904 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1881 : 1157984 6947904 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1880 : 1157984 6947904 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1879 : 1157984 10421856 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1878 : 1158080 10421856 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1877 : 1158176 50955520 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1876 : 1158208 6949056 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1875 : 1158208 10423584 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1874 : 1158240 10423872 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1873 : 1158240 7215392 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1872 : 1158240 10424160 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1871 : 1158816 121615200 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1870 : 1158848 10429344 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1869 : 1158912 6953088 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1868 : 1158976 6953472 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1867 : 1159008 15066688 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1866 : 1159168 15067104 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1865 : 1159200 6955008 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1864 : 1159200 6955008 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1863 : 1159200 6955200 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1862 : 1159264 10432800 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1861 : 1159296 10433376 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1860 : 1159392 51009024 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1859 : 1159424 6956544 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1858 : 1159424 10434528 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1857 : 1159488 10434816 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1856 : 1159488 6968704 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1855 : 1159520 10435392 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1854 : 1160192 121749600 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1853 : 1160224 10441728 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1852 : 1160224 6961344 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1851 : 1160256 6961344 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1850 : 1160320 15083328 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1849 : 1160416 15084160 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1848 : 1160448 6962496 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1847 : 1160448 6962688 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1846 : 1160480 6962688 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1845 : 1160544 10444320 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1844 : 1160544 10444896 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1843 : 1160608 51063936 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1842 : 1160672 6963648 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1841 : 1160672 10445472 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1840 : 1160736 10446336 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1839 : 1160736 15896704 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1838 : 1160768 51820832 19584 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1837 : 1160768 11214080 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1836 : 1160768 48309856 20096 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1835 : 1160768 7717408 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1834 : 1160768 44627616 15616 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1833 : 1160768 4232288 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1832 : 1160768 10446624 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1831 : 1161056 121880640 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1830 : 1161056 10449504 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1829 : 1161056 6966336 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1828 : 1161056 6966336 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1827 : 1161088 15093728 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1826 : 1161088 15094144 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1825 : 1161088 6966528 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1824 : 1161088 6966528 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1823 : 1161088 6966528 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1822 : 1161120 10449792 0 0 0 0 0 0 0 
